Транспорт - Запчасти и аксессуары - Запчасти - Для автомобилей - Двигатель;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Адрес;Широта;Долгота;Уникальный идентификатор объявления;Начало размещения;Окончание размещения;Способ размещения;Услуга продвижения;Номер объявления на Авито;Контактное лицо;Номер телефона;Идентификатор адреса;Способ связи;Addresses;Адреса отгрузки;Категория;Описание объявления;Названия фото;Ссылки на фото;Ссылка на видео;Настройка цены целевого действия;Настройка цены целевого действия: автоматическая;Настройка цены целевого действия: ручная;Название объявления;Интернет звонки;Устройства для приёма звонков;Способ доставки;Вес (Для Доставки);Длина (Для Доставки);Высота (Для Доставки);Ширина (Для Доставки);Возвраты;Субсидирование доставки;Цена;URL видеофайла;Вид товара;Вид объявления;Тип товара;Вид запчасти;Тип детали двигателя;Состояние;Происхождение;Доступность;Производитель;Номер детали OEM;Производитель оригинала;Номер оригинала;Авто для которых подходит запчасть;Включая НДС;Оптовые продажи;Тип минимального заказа;Количество в минимальном заказе;Фасовка;Количество в фасовке;В чём измеряются товары;Скидка за опт;Размер скидки за опт;
Обязательный;Необязательный;Необязательный;Обязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Обязательный;Обязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Обязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Необязательный;Обязательный;Необязательный;Обязательный;Обязательный;Обязательный;Обязательный;Обязательный;Обязательный;Необязательный;Необязательный;"Может быть обязательным
Подробнее";"Может быть обязательным
Подробнее";Необязательный;Необязательный;Обязательный;Необязательный;Необязательный;"Может быть обязательным
Подробнее";"Может быть обязательным
Подробнее";"Может быть обязательным
Подробнее";Необязательный;Необязательный;"Может быть обязательным
Подробнее";"Может быть обязательным
Подробнее";
Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Текст;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Подробнее о параметре;Текст;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Одно или несколько значений из выпадающего списка в ячейке;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;"Одно значение из листа ""Справочники""";Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;Одно значение из выпадающего списка в ячейке;Одно значение из выпадающего списка в ячейке;Подробнее о параметре;
